Open,High,Low,Close,Adj Close,Volume
0.986429,1.060714,0.965000,1.046429,1.046429,4629800
1.054286,1.060000,1.006429,1.039286,1.039286,3878000
1.058571,1.178571,1.055000,1.178571,1.178571,23119600
1.187857,1.228571,1.164286,1.222143,1.222143,11879000
1.207857,1.220000,1.125000,1.140000,1.140000,15797600
1.142143,1.172143,1.110000,1.167857,1.167857,5565000
1.168571,1.168571,1.125714,1.153571,1.153571,3498600
1.165000,1.177857,1.142857,1.164286,1.164286,3455200
1.141429,1.185714,1.125000,1.149286,1.149286,4853800
1.141429,1.164286,1.122143,1.123571,1.123571,3424400
1.123571,1.125000,1.071429,1.107143,1.107143,5531400
1.103571,1.107857,1.064286,1.075714,1.075714,5751200
1.097143,1.183571,1.089286,1.160714,1.160714,7560000
1.185714,1.210714,1.170714,1.182143,1.182143,6129200
1.184286,1.292143,1.118571,1.285714,1.285714,16616600
1.321429,1.370000,1.290714,1.339286,1.339286,21091000
1.363571,1.398571,1.335714,1.374286,1.374286,16062200
1.389286,1.406429,1.329286,1.345000,1.345000,14603400
1.365000,1.400714,1.307857,1.325000,1.325000,8150800
1.305000,1.328571,1.267857,1.285714,1.285714,8996400
1.285714,1.392143,1.282143,1.375000,1.375000,12602800
1.385714,1.481429,1.375000,1.471429,1.471429,18580800
1.464286,1.565000,1.442857,1.552143,1.552143,30632000
1.553571,1.595000,1.479286,1.504286,1.504286,26143600
1.442143,1.507143,1.436429,1.453571,1.453571,8283800
1.464286,1.470000,1.325714,1.354286,1.354286,17019800
1.428571,1.472143,1.397143,1.417143,1.417143,22761200
1.442857,1.446429,1.397143,1.428571,1.428571,8033200
1.440000,1.459286,1.388571,1.396429,1.396429,5884200
1.442857,1.517857,1.411429,1.425000,1.425000,10315200
1.420714,1.471429,1.364286,1.441429,1.441429,6265000
1.482143,1.485714,1.428571,1.457143,1.457143,5864600
1.463571,1.511429,1.436429,1.501429,1.501429,5419400
1.500000,1.550000,1.475000,1.483571,1.483571,4790800
1.450714,1.478571,1.435714,1.442857,1.442857,5355000
1.435714,1.450000,1.408571,1.439286,1.439286,6311200
1.448571,1.472857,1.435714,1.469286,1.469286,4533200
1.475000,1.571429,1.469286,1.568571,1.568571,13462400
1.692857,1.763571,1.614286,1.759286,1.759286,48573000
1.748571,1.748571,1.602857,1.640714,1.640714,30570400
1.647143,1.649286,1.432143,1.480000,1.480000,36787800
1.467143,1.627857,1.450000,1.572857,1.572857,35765800
1.570714,1.585714,1.492143,1.510714,1.510714,14922600
1.500000,1.589286,1.500000,1.582857,1.582857,22727600
1.579286,1.642857,1.579286,1.628571,1.628571,20129200
1.635000,1.662857,1.553571,1.628571,1.628571,11071200
1.619286,1.631429,1.596429,1.607143,1.607143,14984200
1.603571,1.642857,1.600000,1.616429,1.616429,12334000
1.601429,1.742143,1.601429,1.669286,1.669286,14449400
1.669286,1.727857,1.635714,1.658571,1.658571,14964600
1.658571,1.700000,1.632143,1.687857,1.687857,13473600
1.665000,1.672143,1.626429,1.634286,1.634286,10046400
1.635714,1.650000,1.592857,1.615714,1.615714,5926200
1.635000,1.710714,1.621429,1.680714,1.680714,11788000
1.692857,1.803571,1.682143,1.796429,1.796429,18207000
1.848571,1.852143,1.737143,1.748571,1.748571,19117000
1.755714,1.784286,1.725000,1.747143,1.747143,10684800
1.751429,1.757143,1.642857,1.699286,1.699286,12966800
1.664286,1.672857,1.466429,1.485000,1.485000,30472400
1.525000,1.567857,1.467857,1.553571,1.553571,20209000
1.554286,1.556429,1.482857,1.513571,1.513571,9451400
1.512857,1.631429,1.507143,1.613571,1.613571,14278600
1.633571,1.657143,1.578571,1.580000,1.580000,8171800
1.575000,1.639286,1.571429,1.620714,1.620714,13883800
1.629286,1.675000,1.553571,1.614286,1.614286,10127600
1.610000,1.643571,1.579286,1.628571,1.628571,7277200
1.630714,1.639286,1.582143,1.607143,1.607143,10476200
1.607857,1.732143,1.607857,1.664286,1.664286,17547600
1.663571,1.718571,1.646429,1.704286,1.704286,8548400
1.722143,1.800000,1.715000,1.742857,1.742857,12420800
1.749286,1.817143,1.687857,1.815000,1.815000,13104000
1.838571,1.882143,1.664286,1.686429,1.686429,19174400
1.687143,1.692143,1.607143,1.642857,1.642857,12731600
1.572857,1.684286,1.487143,1.621429,1.621429,62433000
1.580000,1.632143,1.564286,1.603571,1.603571,17973200
1.585000,1.606429,1.515714,1.565714,1.565714,18457600
1.515000,1.525000,1.289286,1.371429,1.371429,66024000
